id;direksi_id;divisi_id;kode;nama;nama_pimpinan;keterangan;urutan
1;0;0;HT;Staff Direksi;;;1
2;0;0;DIRUT;Direktur Utama;Supriyatno;;2
3;0;0;DIRUM;Direktur Umum;Radjim;;3
4;0;0;DIRUS;Direktur Unit Usaha Syariah;;;4
5;0;0;DIRSAR;Direktur Pemasaran; ;;5
6;0;0;DIROPS;Direktur Operasional;Banbang Widianto;;6
7;0;0;DIRKEP;Direktur Kepatuhan;Rahadi Widiyanto;;7
8;2;0;SEKPER;Sekretaris Perusahaan;Windoyo;;8
9;3;0;PRC;Divisi Perencanaan dan Pengembangan;Wijoyo;;9
10;6;0;DT;Divisi Dana dan Treasury;Ony Suharsono;;10
11;3;0;PMS;Divisi Pemasaran;Pujiono;;11
12;5;0;KRD;Divisi Kredit;Eko Budi Maryanto;;12
13;4;0;SYAR;Divisi Syariah;Moh. Zaenal;;13
14;3;0;UM;Divisi Umum;Muji Hari Susanto;;14
15;7;0;SDM;Divisi SDM;Bambang Suryanto;;15
16;7;0;SKKMR;Satuan Kerja Kepatuhan dan Manajemen Risiko;Lulus Rahmat Mulyono;;16
17;2;0;SKAI;Satuan Kerja Audit Intern;Djoko Achmad Pitoyo;;17
18;6;0;TIAK;Divisi TSI dan Akuntansi ;Sri Sudarso;;18
19;2;0;AMU;Tim AMU;Agus Sri Subiyakto;;19
20;2;0;TAF;Tim Anti Fraud;Joko Yunarso;;20
21;7;0;APT;Tim APU dan PPT;;;21
22;2;0;RPK;Tim Restrukturisasi dan Penyelesaian Kredit;;;22
23;0;0;CAB;Cabang;;;23
